Close,Timestamp,Low,High,Open,TradedDate,Volume,SymbolKey,MA20,MA50,MACD,Confidence,Signal,MA200,MACDHist,MACDSignal,RSI14,ATR
1196.3,2025-10-21T15:39:13.982737,1185.3,1216.9,1216.4,2025-10-16,17747171,AXISBANK,1172.98,,22.17,MEDIUM,SELL,,-4.41,26.58,66.55,27.91
1200.2,2025-10-21T15:39:13.668187,1191.6,1212.9,1196.3,2025-10-17,6404414,AXISBANK,1175.05,,22.18,MEDIUM,SELL,,-3.52,25.7,61.87,27.01
1226,2025-10-21T15:39:13.062127,1207,1231.7,1207.9,2025-10-19,7418616,AXISBANK,1178.02,,23.99,MEDIUM,SELL,,-1.37,25.36,62.8,27.23
1226,2025-10-21T15:39:12.739155,1207,1231.7,1207.9,2025-10-20,7418616,AXISBANK,1181.62,,25.14,MEDIUM,SELL,,-0.18,25.31,62.8,27.67
1237.3,2025-10-21T15:39:12.399579,1222,1238.8,1225.8,2025-10-21,1931163,AXISBANK,1186.87,,26.65,MEDIUM,BUY,,1.07,25.58,57.89,26.43
1686.65,2025-10-21T15:38:07.702368,1669.4,1774.75,1730,2025-04-06,14870388,BHARTIARTL,,,,,,,,,,
1686.65,2025-10-21T15:38:07.395553,1669.4,1774.75,1730,2025-04-07,14870388,BHARTIARTL,,,,,,,,,,
1720.4,2025-10-21T15:38:07.084777,1706.8,1742.3,1720.7,2025-04-08,7206935,BHARTIARTL,,,,,,,,,,
1715.55,2025-10-21T15:38:06.766368,1711.6,1726.85,1719.65,2025-04-09,5600666,BHARTIARTL,,,,,,,,,,
1756.6,2025-10-21T15:38:06.454266,1732.35,1767,1760,2025-04-10,8340002,BHARTIARTL,,,,,,,,,,
1756.6,2025-10-21T15:38:06.157943,1732.35,1767,1760,2025-04-11,8340002,BHARTIARTL,,,,,,,,,,
1798.8,2025-10-21T15:38:05.207382,1781.1,1820,1808.2,2025-04-14,10313411,BHARTIARTL,,,,,,,,,,
1798.8,2025-10-21T15:38:04.892747,1781.1,1820,1808.2,2025-04-15,10313411,BHARTIARTL,,,,,,,,,,
1822.6,2025-10-21T15:38:04.595949,1794.1,1826.5,1802.4,2025-04-16,6180958,BHARTIARTL,,,,,,,,,,
1889.1,2025-10-21T15:38:04.282451,1825.7,1897.7,1834,2025-04-17,10894325,BHARTIARTL,,,,,,,,,,
1883.4,2025-10-21T15:38:03.307600,1868.6,1904.3,1898.4,2025-04-20,3501123,BHARTIARTL,,,,,,,,,,
1883.4,2025-10-21T15:38:02.996404,1868.6,1904.3,1898.4,2025-04-21,3501123,BHARTIARTL,,,,,,,,,,
1852.2,2025-10-21T15:38:02.671159,1836.8,1888,1888,2025-04-22,6155127,BHARTIARTL,,,,,,,,,,
1881.6,2025-10-21T15:38:02.367028,1836.1,1885.9,1867,2025-04-23,6855027,BHARTIARTL,,,,,,,,,,
1845.6,2025-10-21T15:38:02.052705,1839.5,1877.8,1874.5,2025-04-24,5180688,BHARTIARTL,,,,,,,,,,
1817.2,2025-10-21T15:38:01.748660,1806,1861.7,1846.7,2025-04-25,4570083,BHARTIARTL,,,,,,,,,,
1821.8,2025-10-21T15:38:01.111866,1813.4,1838.9,1836,2025-04-27,3301891,BHARTIARTL,,,,,,,,,,
1821.8,2025-10-21T15:38:00.800644,1813.4,1838.9,1836,2025-04-28,3301891,BHARTIARTL,,,,,,,,,,
1823.8,2025-10-21T15:38:00.476963,1817.6,1847.8,1823.7,2025-04-29,4684155,BHARTIARTL,,,,,,,,,,
1864.5,2025-10-21T15:38:00.147500,1827,1876.9,1837,2025-04-30,9139821,BHARTIARTL,,,,,,,,,,
1851.9,2025-10-21T15:37:59.836612,1832.1,1883.6,1852,2025-05-01,5528529,BHARTIARTL,,,,,,,,,,
1851.9,2025-10-21T15:37:59.490955,1832.1,1883.6,1852,2025-05-02,5528529,BHARTIARTL,,,,,,,,,,
1866,2025-10-21T15:37:58.895600,1849.2,1873.5,1868,2025-05-04,3548839,BHARTIARTL,,,,,,,,,,
1866,2025-10-21T15:37:58.568635,1849.2,1873.5,1868,2025-05-05,3548839,BHARTIARTL,,,,,,,,,,
1901,2025-10-21T15:37:58.034792,1882.6,1912,1888.3,2025-05-06,8597920,BHARTIARTL,,,,,,,,,,
1896.8,2025-10-21T15:37:57.725636,1885.5,1917,1901,2025-05-07,5554616,BHARTIARTL,,,,,,,,,,
1874.9,2025-10-21T15:37:57.417100,1862.4,1905.8,1897,2025-05-08,5500724,BHARTIARTL,,,,,,,,,,
1848.4,2025-10-21T15:37:57.096728,1836.5,1871.1,1855,2025-05-09,3686209,BHARTIARTL,,,,,,,,,,
1870.8,2025-10-21T15:37:56.457027,1854,1883.4,1868.9,2025-05-11,3936019,BHARTIARTL,,,,,,,,,,
1870.8,2025-10-21T15:37:56.133980,1854,1883.4,1868.9,2025-05-12,3936019,BHARTIARTL,,,,,,,,,,
1820.6,2025-10-21T15:37:55.829194,1816.6,1883.7,1870,2025-05-13,8817763,BHARTIARTL,,,,,,,,,,
1834.2,2025-10-21T15:37:55.504353,1820.2,1870.7,1830,2025-05-14,7401614,BHARTIARTL,,,,,,,,,,
1867.2,2025-10-21T15:37:55.184158,1825,1869.9,1849.9,2025-05-15,8788351,BHARTIARTL,,,,,,,,,,
1814,2025-10-21T15:37:54.870112,1810.1,1834,1834,2025-05-16,100662047,BHARTIARTL,,,,,,,,,,
1818.3,2025-10-21T15:37:54.256567,1809,1828.7,1822,2025-05-18,5799804,BHARTIARTL,,,,,,,,,,
1818.3,2025-10-21T15:37:53.944499,1809,1828.7,1822,2025-05-19,5799804,BHARTIARTL,,,,,,,,,,
1808.9,2025-10-21T15:37:53.634217,1799.5,1824.9,1809.8,2025-05-20,12512596,BHARTIARTL,,,,,,,,,,
1822.5,2025-10-21T15:37:53.318109,1805.3,1826.5,1813,2025-05-21,6849562,BHARTIARTL,,,,,,,,,,
1831.4,2025-10-21T15:37:52.983263,1816.3,1836.7,1819.9,2025-05-22,6496923,BHARTIARTL,,,,,,,,,,
1831.7,2025-10-21T15:37:52.678744,1821.5,1841.8,1825,2025-05-23,3460945,BHARTIARTL,,,,,,,,,,
1847.4,2025-10-21T15:37:52.083232,1830.9,1850,1834,2025-05-25,3254715,BHARTIARTL,,,,,,,,,,
1847.4,2025-10-21T15:37:51.783252,1830.9,1850,1834,2025-05-26,3254715,BHARTIARTL,,,,,,,,,,
1843.8,2025-10-21T15:37:51.483003,1833.7,1857.6,1844,2025-05-27,5847725,BHARTIARTL,,,,,,,,,,
1856.1,2025-10-21T15:37:51.191365,1845.1,1867,1848,2025-05-28,3713699,BHARTIARTL,,,,,,,,,,
1863.6,2025-10-21T15:37:50.879636,1850.5,1867,1858,2025-05-29,5786774,BHARTIARTL,,,,,,,,,,
1856.2,2025-10-21T15:37:50.578148,1843,1867,1854,2025-05-30,16712960,BHARTIARTL,,,,,,,,,,
1854.1,2025-10-21T15:37:50.007879,1831.5,1859,1844,2025-06-01,3199499,BHARTIARTL,,,,,,,,,,
1854.1,2025-10-21T15:37:49.704866,1831.5,1859,1844,2025-06-02,3199499,BHARTIARTL,,,,,,,,,,
1841.3,2025-10-21T15:37:49.409244,1832,1869.5,1867,2025-06-03,5596977,BHARTIARTL,,,,,,,,,,
1875.4,2025-10-21T15:37:49.093220,1850,1884.6,1855,2025-06-04,5892170,BHARTIARTL,,,,,,,,,,
1878.8,2025-10-21T15:37:48.780227,1868.6,1889,1884,2025-06-05,8999675,BHARTIARTL,,,,,,,,,,
1870.2,2025-10-21T15:37:48.468558,1867.3,1881.9,1872.1,2025-06-06,4644174,BHARTIARTL,,,,,,,,,,
1865.1,2025-10-21T15:37:47.837909,1848.7,1875,1874,2025-06-08,3649505,BHARTIARTL,,,,,,,,,,
